'a'bi'ke'tang 阿比可糖
'ban'bi'zai'zao'shu 半鼻再造术
'ban'bian'tai'lei 半变态类
'ban'bo'bing 斑驳病
'ban'bu'ren'xing 半不稔性
'ban'bu'yu 半不育
'ban'bu'yu'xing 半不育性
'ban'chi'huang'ke 斑翅蝗科
'ban'chi'mu 半翅目
'ban'chi'mu'di'qian'chi 半翅目的前翅
'ban'chi'mu'kun'chong 半翅目昆虫
'ban'cun'liu'qi 半存留期
'ban'dan'hong'su 半胆红素
'ban'dan'zi 半担子
'ban'dao'dou'ning'ji'su 伴刀豆凝集素
'ban'dao'dou'qiu'dan'bai 伴刀豆球蛋白
'ban'dao'ti'ji'guang'liao'fa 半导体激光疗法
'ban'dian'ji'yin 斑点基因
'ban'dian'xu 斑点序
'ban'dian'ya'zhou'ying'su'jian 斑点亚洲婴粟碱
'ban'dian'yin'ji 斑点印迹
'ban'dian'yong 板电泳
'ban'dian'za'jiao 斑点杂交
'ban'dong'xing 半冬性
'ban'fang'chui'ti 半纺锤体
'ban'fen'hua'xing'zu 半分化型族
'ban'fen'hua'zhong 半分化种
'ban'fen'sheng'bao'zi 半分生孢子
'ban'fu'sheng'zhi'wu 半腐生植物
'ban'fu'sheng'zhi'wu 半附生植物
'ban'gou'you'chong 瓣钩幼虫
'ban'gu'ding'qiao 半固定桥
'ban'gu'ding'qiao'lian'jie'ti 半固定桥连接体
'ban'guan'jie'cheng'xing'shu 半关节成形术
'ban'guan'jie'mian 半关节面
'ban'guan'mu 半灌木
'ban'guang'an'suan 半胱氨酸
'ban'guang'an'suan'dan'bai'mei 半胱氨酸蛋白酶
'ban'guang'an'suan'tuo'qiu'ji'mei 半胱氨酸脱巯基酶
'ban'guang'an'xian'ji 半胱氨酰基
'ban'guang'ci'huang'suan 半胱次磺酸
'ban'guang'huang'suan 半胱磺酸
'ban'guang'ya'huang'suan 半胱亚磺酸
'ban'gui'guan 半规管
'ban'he'cheng'qing'mei'su 半合成青霉素
'ban'he'cheng'wu 半合成物
'ban'he'ji'yin 半合基因
'ban'he'zi 半合子
'ban'he'zi'xing 半合子性
'ban'hen 瘢痕
'ban'hen'ai 瘢痕癌
'ban'hen'ge'da 瘢痕疙瘩
'ban'hen'ge'da'xing'cuo'chuang 瘢痕疙瘩性痤疮
'ban'hen'ge'da'xing'ya'sheng'jun'bing 瘢痕疙瘩性芽生菌病
'ban'hen'luan'suo 瘢痕挛缩
'ban'hen'qie'chu'shu 瘢痕切除术
'ban'hen'shang'pi 瘢痕上皮
'ban'hen'song'jie'zhi'pi'shu 瘢痕松解植皮术
'ban'hen'ti'zhi 瘢痕体质
'ban'hen'xing'cheng 瘢痕形成
'ban'hen'xing'jian'wai'fan 瘢痕性睑外翻
'ban'hen'xing'tuo'fa 瘢痕性脱发
'ban'hen'zu'zhi 瘢痕组织
'ban'hen'zu'zhi'tian'chong'fa 瘢痕组织填充法
'ban'hua'sheng'qiu'dan'bai 伴花生球蛋白
'ban'huan 瓣环
'ban'ji'ji 半棘肌
'ban'ji'pian 瓣基片
'ban'ji'sheng'wu 半寄生物
'ban'ji'zhi 扳机指
'ban'jian'lian'xi 瓣间联系
'ban'jian'shou'suo 半减收缩
'ban'jie'pou'shi'ya 半解剖式牙
'ban'jing'mi'zhi'tuo 半精密支托
'ban'jiu'ju'suan 斑鸠菊酸
'ban'kai'fang'zhuang'zhi 半开放装置
'ban'kang'yuan 半抗原
'ban'kang'yuan'fang'she'mian'yi'ce'ding'fa 半抗原放射免疫测定法
'ban'kang'yuan'kang'ti'ning'ju'wu 半抗原抗体凝聚物
'ban'kang'yuan'yi'zhi'shi'yan 半抗原抑制试验
'ban'kang'yuan'zai'ti'fu'he'wu 半抗原载体复合物
'ban'kou'fan'ying 坂口反应
'ban'ku 斑枯
'ban'kuai'zhuang'fu'yin'xie'bing 斑块状副银屑病
'ban'kuang'shi'ya'lv'ji 板框式压滤机
'ban'kun 半醌
'ban'long 斑龙
'ban'luo'yuan'sheng'zhi'ti 半裸原生质体
'ban'lv'fen'zi 伴侣分子
'ban'ma'zhuang'se'su'chen'zhuo 斑马状色素沉着
'ban'mai'ru'heng'ru'shi'feng'he 半埋入横褥式缝合
'ban'mao'pi'yan 斑蝥皮炎
'ban'mao'su 斑蝥素
'ban'mo 板模
'ban'mo 瓣膜
'ban'mo'bian'xing 瓣膜变形
'ban'mo'cheng'xing'shu 瓣膜成形术
'ban'mo'ji 半膜肌
'ban'mo'po'lie 瓣膜破裂
'ban'mo'qie'kai'shu 瓣膜切开术
'ban'mo'zhi'huan'shu 瓣膜置换术
'ban'mo'zhu'she 瓣膜注射
'ban'nai'han'zhi'wu 半耐寒植物
'ban'pei'he 半配合
'ban'pi'yi'zhi 半脾移植
'ban'pu'fu'zhi'wu 半匍匐植物
'ban'qi'men'shi 半气门式
'ban'qi'sheng'zhi'wu 半气生植物
'ban'qiao'chi 半鞘翅
'ban'qiao'li 半桥粒
'ban'qie'kai'shu 瓣切开术
'ban'qie'ya'shu 半切牙术
'ban'qing'dan'bai 伴清蛋白
'ban'qiu'xing'ru'fang 半球形乳房
'ban'qu'gan'ji'tai 半躯干畸胎
'ban'quan 半醛
'ban'ri'hua'fen'jian'jia'mi 半日花酚碱甲醚
'ban'rong'fen'quan'shu'zhi 半溶酚醛树脂
'ban'ru 半乳
'ban'ru'duo'tang 半乳多糖
'ban'ru'er 半乳二
'ban'ru'er'tang 半乳二糖
'ban'ru'er'tang'gan 半乳二糖苷
'ban'ru'er'tang'gan'shen'jing'xian'an 半乳二糖苷神经酰胺
'ban'ru'er'tang'shen'jing'xian'an 半乳二糖神经酰胺
'ban'ru'gan'lu'ju'tang 半乳甘露聚糖
'ban'ru'ju'tang 半乳聚糖
'ban'ru'san'tang'ji'zhe'tang 半乳三糖基蔗糖
'ban'ru'tang 半乳糖
'ban'ru'tang'an 半乳糖胺
'ban'ru'tang'an'quan'suan 半乳糖胺醛酸
'ban'ru'tang'cao'zong'zi 半乳糖操纵子
'ban'ru'tang'chun 半乳糖醇
'ban'ru'tang'chun'tuo'qing'mei 半乳糖醇脱氢酶
'ban'ru'tang'er'suan 半乳糖二酸
'ban'ru'tang'gan 半乳糖苷
'ban'ru'tang'gan'ji 半乳糖苷基
'ban'ru'tang'gan'ji'er'zhi'xian'ji'gan'you 半乳糖苷基二脂酰基甘油
'ban'ru'tang'gan'ji'gan'you'zhi 半乳糖苷基甘油脂
'ban'ru'tang'gan'ji'qiao'an'chun 半乳糖苷基鞘氨醇
'ban'ru'tang'gan'ji'ru'tang 半乳糖苷基乳糖
'ban'ru'tang'gan'ji'shen'jing'xian'an 半乳糖苷基神经酰胺
'ban'ru'tang'gan'ji'zhuan'yi'mei 半乳糖苷基转移酶
'ban'ru'tang'gan'mei 半乳糖苷酶
'ban'ru'tang'gan'you'er'zhi 半乳糖甘油二酯
'ban'ru'tang'huang'su 半乳糖黄素
'ban'ru'tang'ji 半乳糖基
'ban'ru'tang'ji'guo'tang 半乳糖基果糖
'ban'ru'tang'ji'mei 半乳糖激酶
'ban'ru'tang'ji'nao'gan'zhi'mei 半乳糖基脑苷脂酶
'ban'ru'tang'ji'tuo'ye'suan'chu'ji'zheng 半乳糖基唾液酸储积症
'ban'ru'tang'ji'zhuan'yi'mei 半乳糖基转移酶
'ban'ru'tang'mei'xi 半乳糖酶系
'ban'ru'tang'nao'gan'zhi 半乳糖脑苷脂
'ban'ru'tang'nao'gan'zhi'ji'lei'zheng 半乳糖脑苷脂积累症
'ban'ru'tang'nao'gan'zhi'mei 半乳糖脑苷脂酶
'ban'ru'tang'niao 半乳糖尿
'ban'ru'tang'quan'suan 半乳糖醛酸
'ban'ru'tang'quan'suan'shu'li'ju'tang 半乳糖醛酸鼠李聚糖
'ban'ru'tang'quan'suan'zhi'huan'yuan'mei 半乳糖醛酸酯还原酶
'ban'ru'tang'suan'nei'zhi'tuo'qing'mei 半乳糖酸内酯脱氢酶
'ban'ru'tang'wa'er'deng'zhuan'hua'mei 半乳糖瓦尔登转化酶
'ban'ru'tang'xi'lie 半乳糖系列
'ban'ru'tang'xue 半乳糖血
'ban'ru'tang'xue'zheng 半乳糖血症
'ban'ru'tang'yang'hua'mei 半乳糖氧化酶
'ban'ru'tang'zhi 半乳糖脂
'ban'sai 半鳃
'ban'sai'dong'wu 瓣鳃动物
'ban'se'tai'er 斑色胎儿
'ban'she'qie'chu'shu 半舌切除术
'ban'shen'hai'dai 半深海带
'ban'shen'hai'qu 半深海区
'ban'shen'ma'mu 半身麻木
'ban'sheng'he'cheng 伴生合成
'ban'shi'guo'lv'ji 板式过滤机
'ban'shi'huan'lu 斑氏环路
'ban'shou'jing 半受精
'ban'shou'qi 半寿期
'ban'shu'dong'wu'ma'bi'ji'liang 半数动物麻痹剂量
'ban'shu'zhi'si'liang 半数致死量
'ban'shu'zhi'si'mian'ji 半数致死面积
'ban'shuai'qi 半衰期
'ban'si'zhuang'tai 半死状态
'ban'sui'mian'yi 伴随免疫
'ban'suo'dong'wu'men 半索动物门
'ban'suo'quan 半缩醛
'ban'suo'tong 半缩酮
'ban'tai'pan 半胎盘
'ban'tong'bao 半同胞
'ban'tou'ming'shi'jun'ban'tu'bian'xing 半透明噬菌斑突变型
'ban'tou'xing 半透性
'ban'tuo'la 半脱拉
'ban'wei'bing 斑萎病
'ban'wei'liang'fen'xi 半微量分析
'ban'xi'bao 伴细胞
'ban'xi'bao 半细胞
'ban'xia'dan'bai 半夏蛋白
'ban'xia'he'ji'xing 半下颌畸形
'ban'xian'wei'su 半纤维素
'ban'xian'wei'su'mei 半纤维素酶
'ban'xian'xing 半显性
'ban'xian'xing'tu'bian 半显性突变
'ban'xiao'hua 半小花
'ban'xing 伴型
'ban'xing 伴性
'ban'xing 板星
'ban'xing'ji'yin 伴性基因
'ban'xing'xing'zhuang 伴性性状
'ban'xing'yi'chuan 伴性遗传
'ban'xing'yi'chuan'ji'bing 伴性遗传疾病
'ban'xing'zhi'si 伴性致死
'ban'xiu'fu'shu 瓣修复术
'ban'yan 瓣炎
'ban'ye'pin'zhong 斑叶品种
'ban'yin'jing 半阴茎
'ban'you'si'fen'lie 半有丝分裂
'ban'you'ya 斑釉牙
'ban'yuan'chang'pei 半原肠胚
'ban'yuan'wen'kong'dui 半缘纹孔对
'ban'yue'ban 半月瓣
'ban'yue'shen'jing'jie'qie'chu'shu 半月神经节切除术
'ban'yue'xian'shan 半月线疝
'ban'yun'li 搬运力
'ban'zhang 板障
'ban'zhang'zhuang 半掌状
'ban'zhen'shang'han 斑疹伤寒
'ban'zhen'shang'han'xiao'jie 斑疹伤寒小结
'ban'zhi 斑痣
'ban'zhi'ji'xing 半肢畸形
'ban'zhi'jun 半知菌
'ban'zhi'jun'gang 半知菌纲
'ban'zhi'jun'lei 半知菌类
'ban'zhi'si'ji'liang 半致死剂量
'ban'zhi'si'ji'yin 半致死基因
'ban'zhi'si'liang 半致死量
'ban'zhi'si'nong'du 半致死浓度
'ban'zhi'si'tu'bian 半致死突变
'ban'zhi'si'tu'bian'xing 半致死突变型
'ban'zhi'wu 瓣植物
'ban'zhi'xing'cuo'gou'liu'bing 斑痣性错构瘤病
'ban'zhong'ban'ren'gong'ban'zhi'ru'shu 瓣中瓣人工瓣植入术
'ban'zhou'lou 瓣周漏
'ban'zhuang 瓣状
'ban'zhuang'bei'pian 瓣状被片
'ban'zhuang'fen'sheng'zu'zhi 板状分生组织
'ban'zhuang'gan'ji 板状干基
'ban'zhuang'gen 板状根
'ban'zhuang'ji'gen 板状基根
'ban'zhuang'wei'suo 斑状萎缩
'ban'zhuang'ying'ban'bing 斑状硬斑病
'ban'zhui'ti 半椎体
'ban'zi'nang 半子囊
'ban'zi'nang'jun'bao'zi 半子囊菌孢子
'ban'zi'nang'jun'lei 半子囊菌类
'ban'zi'nang'jun'ya'gang 半子囊菌亚纲
'ban'zi'yang'zhi'wu 半自养植物
'ban'zi'you'ji'sheng'wu 半自由寄生物
'ban'zu'cheng'xing'tu'bian'xing 半组成型突变型
'bang'e'pian 傍额片
'bang'jie 棒节
'bang'mai'jiao 棒麦角
'bang'qian'lin 棒前鳞
'bang'qing'mei'su 棒青霉素
'bang'qu'mei'su 棒曲霉素
'bang'shi'song'jian 棒石松碱
'bang'wei'er'san'jiao 邦威尔三角
'bang'xian 蚌线
'bang'zhuang'gan'jun 棒状杆菌
'bang'zhuang'hai'mian'gu'zhen 棒状海绵骨针
'bang'zhuang'ti 棒状体
'bang'zhuang'zi'shi'ti 棒状子实体
'bao'ban 孢瓣
'bao'bei 包被
'bao'bei'ye 包被叶
'bao'bei'zhong'ceng 包被中层
'bao'bei'zuo'yong 包被作用
'bao'bi 孢壁
'bao'bi'bao'nang 薄壁孢囊
'bao'bi'hua'wen 孢壁花纹
'bao'bi'suan 胞壁酸
'bao'bi'suan'xian'tai 胞壁酸酰肽
'bao'bi'xian'er'tai 胞壁酰二肽
'bao'bi'xian'ji 胞壁酰基
'bao'bi'ya 胞壁压
'bao'bi'zeng'hou 胞壁增厚
'bao'bi'zhi 胞壁质
'bao'bi'zhi'mei 胞壁质酶
'bao'bi'zhong'ceng 孢壁中层
'bao'bi'zu'zhi 薄壁组织
'bao'bing'du'jun'su 胞病毒菌素
'bao'ceng'ceng'xi 薄层层析
'bao'ceng'ceng'xi'fa 薄层层析法
'bao'ceng'dian'yong 薄层电泳
'bao'ceng'fa'jiao'qi 薄层发酵器
'bao'ceng'gan'zao'qi 薄层干燥器
'bao'ceng'guan'zhuang'fan'ying'qi 薄层管状反应器
'bao'ceng'ning'jiao'guo'lv 薄层凝胶过滤
'bao'ceng'pei'yang 薄层培养
'bao'ceng'sao'miao'yi 薄层扫描仪
'bao'chi'pei'yang'ye'cheng'fen'bu'bian'yi'qi 保持培养液成分不变仪器
'bao'chi'xi 保持系
'bao'chong 包虫
'bao'chong'nang 包虫囊
'bao'chun'se'su 报春色素
'bao'chun'se'su'gan 报春色素苷
'bao'ci'gou 抱雌沟
'bao'ci'gou 抱刺钩
'bao'cun'ji 保存剂
'bao'cun'ye 保存液
'bao'dan'bao'zi 孢担孢子
'bao'dao'ji'tuan 报道基团
'bao'dao'ji'yin 报道基因
'bao'du'kang'ti 胞毒抗体
'bao'dui'guo 孢堆果
'bao'dui'guo'tuo 孢堆果托
'bao'dui'tuo 孢堆托
'bao'dui'yuan 孢堆原
'bao'en'bing 鲍恩病
'bao'en'yang'qiu'zhen'bing 鲍恩样丘疹病
'bao'fa'ji'luo'ke'bao'fa'ge'zi'ji'luo 爆发集落可爆发个子集落
'bao'fa'ji'luo'xing'cheng'dan'wei 爆发集落形成单位
'bao'fa'shi'wu'zhong'xing'cheng 暴发式物种形成
'bao'fa'xing'sheng'zhi'qi'huai'ju 暴发性生殖器坏疽
'bao'fa'xing'zi'dian 暴发性紫癜
'bao'fei'jin'fei 暴沸进沸
'bao'fen 孢粉
'bao'fen'da'xiao'deng'ji 孢粉大小等级
'bao'fen'su 孢粉素
'bao'fen'tu'shi 孢粉图式
'bao'fen'xue 孢粉学
'bao'fen'zhi 孢粉质
'bao'gan 胞苷
'bao'gan'er'lin'suan 胞苷二磷酸
'bao'gan'er'lin'suan'dan'jian 胞苷二磷酸胆碱
'bao'gan'er'lin'suan'yi'chun'an 胞苷二磷酸乙醇胺
'bao'gan'san'lin'suan 胞苷三磷酸
'bao'gan'suan 胞苷酸
'bao'gan'yi'lin'suan 胞苷一磷酸
'bao'gang 胞肛
'bao'gang'lv 保肛率
'bao'geng 孢梗
'bao'geng'shu 孢梗束
'bao'geng'shu'bao'zi 孢梗束孢子
'bao'guan'xi 胞管系
'bao'guo 胞果
'bao'guo'bing 孢果柄
'bao'han'nang'zhong 包涵囊肿
'bao'han'ti 包含体
'bao'han'ti 包涵体
'bao'han'wu 包涵物
'bao'he 胞核
'bao'he'chang'shu 饱和常数
'bao'he'dong'li'xue 饱和动力学
'bao'he'fan'san'she 饱和反散射
'bao'he'mi'du 饱和密度
'bao'he'xue 胞核学
'bao'he'zhi'fang'suan 饱和脂肪酸
'bao'he'zhuan'yi 胞核转移
'bao'hu'ji'tuan 保护基团
'bao'hu'ni'se 保护拟色
'bao'hu'shi'yan 保护实验
'bao'hu'xing'jiao'ti'xue'shuo 保护性胶体学说
'bao'hu'xing'kang'yuan 保护性抗原
'bao'hu'xing'mian'yi 保护性免疫
'bao'hu'zhu 保护株
'bao'hu'zu'zhi 保护组织
'bao'jia'li'ya'ru'suan'gan'jun'yin'zi 保加利亚乳酸杆菌因子
'bao'jian'ceng 胞间层
'bao'jian'lian'si 胞间连丝
'bao'jian'lian'si 孢间连丝
'bao'jian'lian'ti 孢间连体
'bao'jian'qiao 胞间桥
'bao'jian'xi 胞间隙
'bao'jian'ye 胞间液
'bao'jian'yun'shu 胞间运输
'bao'jiang 胞浆
'bao'jiang'dan'bai 胞浆蛋白
'bao'jiang'fen'lie 胞浆分裂
'bao'jiang'nei 胞浆内
'bao'jiang'rong'jie'zuo'yong 胞浆溶解作用
'bao'jiang'su 胞浆素
'bao'jiang'su'yuan 胞浆素原
'bao'kou 胞口
'bao'kuo'dan'ge'ye'he'duo'ye'juan'die'shi 包括单个叶和多叶卷叠式
'bao'kuo'dong'ti'he'dong'xian'si 包括动体和动纤丝
'bao'kuo'pa'xing'lei'he'niao'lei 包括爬行类和鸟类
'bao'kuo'rong'bao'su 包括溶胞素
'bao'li'qian'yin 暴力牵引
'bao'lie'gu'zhe 爆裂骨折
'bao'lie'xing'gu'zhe 爆裂性骨折
'bao'lin 苞鳞
'bao'liu'di 保留地
'bao'lu'liao'fa 暴露疗法
'bao'luan'ban 抱卵板
'bao'luan'xi'bao 包卵细胞
'bao'luan'zu 抱卵足
'bao'mai 包埋
'bao'mai'cai'mo'xing 包埋材模型
'bao'mai'ji 包埋剂
'bao'mai'ji'yin 包埋基因
'bao'mai'liao 包埋料
'bao'man'shi'mo 鲍曼氏膜
'bao'man'shi'nang 鲍曼氏囊
'bao'man'shi'xian 鲍曼氏腺
'bao'mei'su 胞霉素
'bao'mei'su 孢霉素
'bao'mi'ding 胞嘧啶
'bao'mi'ding'he'gan 胞嘧啶核苷
'bao'mi'ding'he'gan'suan 胞嘧啶核苷酸
'bao'mi'zuo'yong 胞泌作用
'bao'miao 孢苗
'bao'mo 胞膜
'bao'mo'dan'bai 包膜蛋白
'bao'mo'dan'bai'ji'yin 包膜蛋白基因
'bao'mo'luan'suo 包膜挛缩
'bao'mo'nei'zhe 胞膜内褶
'bao'mo'xia'shen'qie'chu'shu 包膜下肾切除术
'bao'mu'xi'bao 孢母细胞
'bao'nang 胞囊
'bao'nang 孢囊
'bao'nang'bao'zi 胞囊孢子
'bao'nang'bao'zi 孢囊孢子
'bao'nang'bei 孢囊被
'bao'nang'bing 孢囊柄
'bao'nang'dui 孢囊堆
'bao'nang'geng 孢囊梗
'bao'nang'guo 孢囊果
'bao'nang'kou 孢囊口
'bao'nang'qun'tuo 孢囊群托
'bao'nang'xi'bao 包囊细胞
'bao'nang'xing'cheng 包囊形成
'bao'nang'zhan'bao'zi 孢囊粘孢子
'bao'nang'zhi 孢囊枝
'bao'nang'zuo'yong 包囊作用
'bao'nei'gong'sheng 胞内共生
'bao'nei'gong'sheng'xian'xiang 胞内共生现象
'bao'nei'mei 胞内酶
'bao'nei'ran'se'ti 胞内染色体
'bao'nei'se'su 胞内色素
'bao'nei'xiao'guan 胞内小管
'bao'nei'xiao'hua 胞内消化
'bao'nei'ye 胞内液
'bao'nei'yun'shu 胞内运输
'bao'nei'zeng'zhi 胞内增殖
'bao'pi'bei'ce'qie'kai'shu 包皮背侧切开术
'bao'pi'bian'ying'xing'shui'zhong 包皮变应性水肿
'bao'pi'jie'shi 包皮结石
'bao'pian 苞片
'bao'pian'zhuang 苞片状
'bao'qi'bei 抱器背
'bao'qi'bei'tu 抱器背突
'bao'qi'duan 抱器端
'bao'qi'duan'ye 抱器端叶
'bao'qi'fu 抱器腹
'bao'qi'fu'duan'tu 抱器腹端突
'bao'qi'fu'tu 抱器腹突
'bao'qi'nei'tu 抱器内突
'bao'qiao 胞桥
'bao'qiu 孢球
'bao'sai 孢塞
'bao'shou'xing'zhuang 保守性状
'bao'shou'xu'lie 保守序列
'bao'shou'xu'lie'de'he'xin 保守序列的核心
'bao'shou'yi'chuan'xing 保守遗传性
'bao'shou'zhi'huan 保守置换
'bao'shuo 孢蒴
'bao'si 孢丝
'bao'si'fen'tuan 孢丝粉团
'bao'si'xing'cheng'dian 孢丝形成点
'bao'ti 胞体
'bao'ti'fen'lie 胞体分裂
'bao'ti'shu'tu 胞体树突
'bao'tu 胞吐
'bao'tu'zuo'yong 胞吐作用
'bao'tui'mo 包蜕膜
'bao'tun 胞吞
'bao'tun'zuo'yong 胞吞作用
'bao'tuo 孢托
'bao'wa 豹蛙
'bao'wa'tai 豹蛙肽
'bao'wai'chan'wu 胞外产物
'bao'wai'lian'si 胞外连丝
'bao'wai'mei 胞外酶
'bao'wai'ye 胞外液
'bao'wai'zhi 胞外质
'bao'wai'zhi'mei 胞外脂酶
'bao'wei'fu'you'sheng'wu 保卫浮游生物
'bao'wei'xi'bao 保卫细胞
'bao'wo 胞窝
'bao'wo'qi 抱握器
'bao'xi 胞隙
'bao'xing 孢型
'bao'ya 胞芽
'bao'ya'bei 胞芽杯
'bao'ya'bei 孢芽杯
'bao'ya'yuan 胞芽原
'bao'ya'yuan'xi'bao 胞芽原细胞
'bao'yan 胞咽
'bao'ye 苞叶
'bao'ye'huang'su 胞液黄素
'bao'yi 胞衣
'bao'yin 胞饮
'bao'yin'pao 胞饮泡
'bao'yin'pao'pai'chu 胞饮泡排出
'bao'yin'xi'bao 饱饮细胞
'bao'yin'zuo'yong 胞饮作用
'bao'you 胞蚴
'bao'you'ji'su 保幼激素
'bao'you'tong 保幼酮
'bao'yu'pei'yang 保育培养
'bao'yuan'xi'bao 孢原细胞
'bao'yuan'zhi 孢原质
'bao'za'liao'fa 包扎疗法
'bao'zhi 胞质
'bao'zhi 孢质
'bao'zhi'bei'mo 胞质被膜
'bao'zhi'fen'lie 胞质分裂
'bao'zhi'huan'liu 胞质环流
'bao'zhi'ji'yin 胞质基因
'bao'zhi'ji'yin'tu'bian 胞质基因突变
'bao'zhi'ju'bu'fen'lie 胞质局部分裂
'bao'zhi'ke'li 胞质颗粒
'bao'zhi'liu'dong 胞质流动
'bao'zhi'mei 胞质酶
'bao'zhi'nei 胞质内
'bao'zhi'pei'he 胞质配合
'bao'zhi'po'lie 胞质破裂
'bao'zhi'qiao 胞质鞘
'bao'zhi'qiao 胞质桥
'bao'zhi'qu 胞质区
'bao'zhi'rong'he 胞质融合
'bao'zhi'rong'jiao 胞质溶胶
'bao'zhi'su 胞质素
'bao'zhi'ti 胞质体
'bao'zhi'wang 胞质网
'bao'zhi'wang'si 胞质网丝
'bao'zhi'ye'hua 胞质液化
'bao'zhi'yi'chu 胞质逸出
'bao'zhi'yi'chuan 胞质遗传
'bao'zhi'yuan'xian'wei 胞质原纤维
'bao'zhi'yun'dong 胞质运动
'bao'zhi'za'zhong 胞质杂种
'bao'zhuang'que'xian'tu'bian'ti 包装缺陷突变体
'bao'zhuang'ti 孢状体
'bao'zhuang'xi'bao'xi 包装细胞系
'bao'zhuang'xi'bao'zhu 包装细胞株
'bao'zhuang'xin'hao 包装信号
'bao'zi'bei 孢子被
'bao'zi'biao'bi 孢子表壁
'bao'zi'chong 孢子虫
'bao'zi'chong'lei 孢子虫类
'bao'zi'dui 孢子堆
'bao'zi'fa'sheng 孢子发生
'bao'zi'fu'bi 孢子附壁
'bao'zi'geng 孢子梗
'bao'zi'guan 孢子管
'bao'zi'guo 孢子果
'bao'zi'huo'hua'fen 孢子或花粉
'bao'zi'huo'hua'fen'wai'bi 孢子或花粉外壁
'bao'zi'jiao 孢子角
'bao'zi'meng'fa'pei'yang'ji 孢子萌发培养基
'bao'zi'meng'fa'xuan'ye 孢子萌发悬液
'bao'zi'mu'xi'bao 孢子母细胞
'bao'zi'nang'xing 孢子囊形
'bao'zi'nei'bi 孢子内壁
'bao'zi'pi'ceng 孢子皮层
'bao'zi'pu 孢子谱
'bao'zi'qie'luo 孢子切落
'bao'zi'qiu 孢子球
'bao'zi'quan'ji 孢子全积
'bao'zi'sheng'cheng 孢子生成
'bao'zi'sheng'zhi 孢子生殖
'bao'zi'sheng'zhi'fa 孢子生殖法
'bao'zi'si'jun 孢子丝菌
'bao'zi'si'jun'bing 孢子丝菌病
'bao'zi'ti 孢子体
'bao'zi'tong'xing 孢子同型
'bao'zi'tuan 孢子团
'bao'zi'tuo 孢子托
'bao'zi'xing'cheng 孢子形成
'bao'zi'ye 孢子叶
'bao'zi'ye'qiu 孢子叶球
'bao'zi'yi'duan'xing'cheng'zuo'yong 孢子缢断形成作用
'bao'zi'yi'xing 孢子异型
'bao'zi'zhi'wu 孢子植物
'bao'zi'zhong'bi 孢子中壁
'bao'zi'zhou'bi 孢子周壁
'bei'ban'er'bei'ti 倍半二倍体
'bei'ban'tie'huan'hua'mei 倍半萜环化酶
'bei'bing'yang'jie 北冰洋界
'bei'bu 杯部
'bei'bu'lin 贝卟啉
'bei'ce'ban 背侧板
'bei'ce'pin'xi 被测品系
'bei'chi'zhuan'lu 背驰转录
'bei'chun 背唇
'bei'ci'shi'ni'tai 贝茨氏拟态
'bei'dan'ning 棓丹宁
'bei'di'xing 背地性
'bei'dong'chuan'di 被动传递
'bei'dong'fa'yu 被动发育
'bei'dong'fen'hua 被动分化
'bei'dong'kuo'san 被动扩散
'bei'dong'mian'yi 被动免疫
'bei'dong'mian'yi'fa 被动免疫法
'bei'dong'mian'yi'xing 被动免疫性
'bei'dong'min'hua 被动敏化
'bei'dong'ning'ji 被动凝集
'bei'dong'shu'yun 被动输运
'bei'dong'xi'shou 被动吸收
'bei'dong'yun'dong 被动运动
'bei'dong'yun'shu 被动运输
'bei'dong'yun'zhuan 被动运转
'bei'dong'zhi'min 被动致敏
'bei'dong'zhuan'yi 被动转移
'bei'dou 背兜
'bei'dou'ce'tu 背兜侧突
'bei'dou'jian 蓓豆碱
'bei'duan'rong'mao 被短绒毛
'bei'fang'sheng'wu'dai 北方生物带
'bei'feng'xian 背缝线
'bei'fu'nian'mo 被覆粘膜
'bei'fu'xing 背腹性
'bei'ge'jiao'zhi'qi 贝格矫治器
'bei'gen 背根
'bei'guan'shi 背管室
'bei'guo'xing 被果性
'bei'ji'sheng'xi'bao 被寄生细胞
'bei'jia'zuo'yong 倍加作用
'bei'jie'su 备解素
'bei'jing'ji'yin'xing 背景基因型
'bei'jing'shi'ying 背景适应
'bei'jing'xiao 背景校
'bei'ke'ding 背壳顶
'bei'ke'ji'ying'yang'bu'liang 贝克肌营养不良
'bei'ke'jia'zong'he'zheng 贝壳甲综合征
'bei'ke'san'ti'zheng 贝克三体征
'bei'ke'shan'xi 贝壳杉烯
'bei'ke'shan'xi'suan 贝壳杉烯酸
'bei'ke'si'shou'shu 贝克斯手术
'bei'ke'ying'dan'bai 贝壳硬蛋白
'bei'ke'zhi 贝克痣
'bei'ke'zhuang'er 贝壳状耳
'bei'kuo'ji'ji'pi'ban 背阔肌肌皮瓣
'bei'la'ri'shi'dai 贝拉日氏带
'bei'lei'xue 贝类学
'bei'lie'wu 被猎物
'bei'lin 背鳞
'bei'long'qi 背隆起
'bei'mei'bu 北美部
'bei'mei'cao'yuan 北美草原
'bei'mei'da 北美大
'bei'mei'da'cao'yuan 北美大草原
'bei'mei'huang'lian'jian 北美黄连碱
'bei'mei'ya'sheng'jun'bing 北美芽生菌病
'bei'mo 被膜
'bei'mo'xi'bao 被膜细胞
'bei'mo'xiao'wo 被膜小窝
'bei'mu'xin'jian 贝母辛碱
'bei'mu'xing 贝母型
